,iteration,loss,mean_cut,mean_ratio,best_ratio_step,best_ratio_so_far,best_cut_so_far,optimal_mass,gamma,lr,grad_norm,circuit_evals,shots_used,graph_family,n,p,seed,objective,mode
123,124,2.37890625,12.615234375,0.841015625,1.0,1.0,15,0.1064453125,,0.012376665721321565,0.4414937430572388,1736,1777664,erdos_renyi,14,3,0,Expectation,sampled
124,125,2.3505859375,12.6376953125,0.8425130208333333,1.0,1.0,15,0.0888671875,,0.01232461304052482,0.6804083148033359,1750,1792000,erdos_renyi,14,3,0,Expectation,sampled
125,126,2.326171875,12.4892578125,0.8326171875,1.0,1.0,15,0.0849609375,,0.012273172631419808,0.6185927990903431,1764,1806336,erdos_renyi,14,3,0,Expectation,sampled
126,127,2.3486328125,12.5888671875,0.8392578125,1.0,1.0,15,0.0927734375,,0.012222332734980218,0.8223375302586369,1778,1820672,erdos_renyi,14,3,0,Expectation,sampled
127,128,2.4326171875,12.587890625,0.8391927083333334,1.0,1.0,15,0.1171875,,0.01217208190423316,0.7695225749035131,1792,1835008,erdos_renyi,14,3,0,Expectation,sampled
128,129,2.2998046875,12.6103515625,0.8406901041666667,1.0,1.0,15,0.0927734375,,0.012122408993724132,0.545514840348124,1806,1849344,erdos_renyi,14,3,0,Expectation,sampled
129,130,2.30078125,12.765625,0.8510416666666667,1.0,1.0,15,0.1103515625,,0.01207330314941262,0.845739773491428,1820,1863680,erdos_renyi,14,3,0,Expectation,sampled
130,131,2.4462890625,12.544921875,0.836328125,1.0,1.0,15,0.1005859375,,0.012024753798977729,1.0794267397497692,1834,1878016,erdos_renyi,14,3,0,Expectation,sampled
131,132,2.4365234375,12.67578125,0.8450520833333334,1.0,1.0,15,0.09765625,,0.01197675064251431,0.991403344933933,1848,1892352,erdos_renyi,14,3,0,Expectation,sampled
132,133,2.4091796875,12.5947265625,0.8396484375,1.0,1.0,15,0.09765625,,0.011929283643601222,0.9997753844724183,1862,1906688,erdos_renyi,14,3,0,Expectation,sampled
133,134,2.365234375,12.5869140625,0.8391276041666667,1.0,1.0,15,0.095703125,,0.011882343020724202,1.305811962804043,1876,1921024,erdos_renyi,14,3,0,Expectation,sampled
134,135,2.369140625,12.66015625,0.8440104166666667,1.0,1.0,15,0.1064453125,,0.011835919239036926,0.5982009300579263,1890,1935360,erdos_renyi,14,3,0,Expectation,sampled
135,136,2.369140625,12.578125,0.8385416666666666,1.0,1.0,15,0.0966796875,,0.01179000300244458,0.9252284206130169,1904,1949696,erdos_renyi,14,3,0,Expectation,sampled
136,137,2.3369140625,12.724609375,0.8483072916666666,1.0,1.0,15,0.1015625,,0.011744585245995169,0.787802114512813,1918,1964032,erdos_renyi,14,3,0,Expectation,sampled
137,138,2.4013671875,12.6171875,0.8411458333333334,1.0,1.0,15,0.1005859375,,0.011699657128564548,0.5061364317300368,1932,1978368,erdos_renyi,14,3,0,Expectation,sampled
138,139,2.3095703125,12.54296875,0.8361979166666667,1.0,1.0,15,0.091796875,,0.011655210025821865,0.9808217663165272,1946,1992704,erdos_renyi,14,3,0,Expectation,sampled
139,140,2.3759765625,12.591796875,0.839453125,1.0,1.0,15,0.083984375,,0.01161123552346284,0.7946842972679263,1960,2007040,erdos_renyi,14,3,0,Expectation,sampled
140,141,2.4365234375,12.638671875,0.842578125,1.0,1.0,15,0.1005859375,,0.011567725410698912,0.5447459603484157,1974,2021376,erdos_renyi,14,3,0,Expectation,sampled
141,142,2.3330078125,12.5751953125,0.8383463541666667,1.0,1.0,15,0.08203125,,0.011524671673990919,0.8001068997486465,1988,2035712,erdos_renyi,14,3,0,Expectation,sampled
142,143,2.24609375,12.6357421875,0.8423828125,1.0,1.0,15,0.109375,,0.011482066491016544,1.3271416108865999,2002,2050048,erdos_renyi,14,3,0,Expectation,sampled
143,144,2.34375,12.6259765625,0.8417317708333333,1.0,1.0,15,0.0927734375,,0.011439902224861298,1.4809637123005002,2016,2064384,erdos_renyi,14,3,0,Expectation,sampled
144,145,2.365234375,12.7236328125,0.8482421875,1.0,1.0,15,0.08984375,,0.011398171418423348,1.5912449915613074,2030,2078720,erdos_renyi,14,3,0,Expectation,sampled
