,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
154,erdos_renyi,8,2,4,0.56,0.56,0.9008199999999998,0.9021519999999998,0.9065000000000001,0.39139999999999997
155,erdos_renyi,8,2,4,0.6,0.6,0.8992799999999999,0.9015179999999999,0.9049200000000001,0.39280000000000004
156,erdos_renyi,8,2,4,0.64,0.64,0.8981200000000001,0.9007620000000001,0.9060600000000001,0.39459999999999995
157,erdos_renyi,8,2,4,0.7,0.7,0.89734,0.900294,0.90574,0.3964
158,erdos_renyi,8,2,4,0.74,0.74,0.89692,0.899732,0.9044799999999998,0.396
159,erdos_renyi,8,2,4,0.8,0.8,0.8954599999999999,0.89856,0.9042,0.3984
160,erdos_renyi,8,2,4,0.85,0.85,0.8946,0.8975540000000001,0.9033200000000001,0.3992
161,erdos_renyi,8,2,4,0.9,0.9,0.89458,0.8969419999999999,0.9039999999999999,0.3999999999999999
162,erdos_renyi,8,2,4,1.0,1.0,0.89436,0.8956560000000001,0.90282,0.4014
163,erdos_renyi,8,2,4,1.1,1.1,0.89244,0.8943420000000002,0.9012800000000001,0.401
164,erdos_renyi,8,2,4,1.2,1.2,0.8910399999999999,0.8927039999999999,0.8992199999999999,0.40159999999999996
165,erdos_renyi,8,2,4,1.25,1.25,0.8912400000000001,0.892468,0.8988599999999998,0.4012
166,erdos_renyi,8,2,4,1.28,1.28,0.89132,0.8921340000000001,0.8984,0.4020000000000001
167,erdos_renyi,8,2,4,1.3,1.3,0.89178,0.8920520000000002,0.89818,0.40160000000000007
168,erdos_renyi,8,2,4,1.35,1.35,0.89146,0.89155,0.89754,0.40019999999999994
169,erdos_renyi,8,2,4,1.4,1.4,0.8897999999999999,0.8908619999999999,0.89674,0.3998
170,erdos_renyi,8,2,4,1.5,1.5,0.88824,0.889958,0.89728,0.3994
171,erdos_renyi,8,2,4,1.8,1.8,0.88658,0.8891060000000002,0.89244,0.3964
172,erdos_renyi,8,2,4,2.2,2.2,0.8806799999999999,0.8806700000000001,0.88452,0.3952
173,erdos_renyi,8,2,4,2.6,2.6,0.8656400000000002,0.8502600000000001,0.8656400000000002,0.388
174,erdos_renyi,8,2,4,3.0,3.0,0.74516,0.728548,0.74516,0.2416
175,erdos_renyi,8,2,4,4.0,4.0,0.71838,0.7193379999999999,0.73148,0.16299999999999998
176,erdos_renyi,8,2,4,5.0,5.0,0.7198,0.720704,0.7323000000000001,0.16220000000000004
177,erdos_renyi,8,2,4,6.0,6.0,0.72008,0.7212219999999999,0.73356,0.16260000000000002
178,erdos_renyi,8,2,4,7.0,7.0,0.72264,0.7232740000000001,0.7332000000000001,0.15860000000000002
179,erdos_renyi,8,2,4,8.0,8.0,0.72322,0.7234700000000001,0.73272,0.156
180,erdos_renyi,8,2,4,10.0,10.0,0.72588,0.724946,0.73386,0.1504
181,erdos_renyi,8,2,4,12.0,12.0,0.72714,0.725794,0.73346,0.1436
182,erdos_renyi,8,2,4,14.0,14.0,0.7283000000000002,0.72657,0.7329600000000001,0.13999999999999999
183,erdos_renyi,8,2,4,16.0,16.0,0.7289199999999999,0.7273479999999999,0.73322,0.1374
184,erdos_renyi,8,2,4,18.0,18.0,0.72782,0.727624,0.73328,0.1348
